FeatureID,Covariate,Log2(FC),SE,W,pvalue,qvalue,Signif
[Bacteroides] pectinophilus,Intercept,0.16735659583904727,0.19380324010400887,0.8635386887713105,0.38784135735027914,0.43821036479836734,False
[Bacteroides] pectinophilus,study_condition[T.adenoma],0.45701562789980676,0.37461069495801963,1.219974854030854,0.2224744075346995,0.7660966326464624,False
[Bacteroides] pectinophilus,study_condition[T.CRC],0.01201418326836479,0.2805260808711283,0.04282733081735819,0.9658391771307044,0.9794862504790072,False
[Clostridium] innocuum,Intercept,1.0460699137697684,0.2409031401639587,4.342284260212686,1.4100892558498893e-05,3.573138793949719e-05,True
[Clostridium] innocuum,study_condition[T.adenoma],-0.1389713864781317,0.37273098854656145,-0.3728463442764471,0.7092628080737327,0.9653855482091309,False
[Clostridium] innocuum,study_condition[T.CRC],0.2828873495825433,0.410274432081501,0.6895076257794874,0.49050387602373346,0.7465603198429984,False
[Clostridium] leptum,Intercept,1.9330640067774905,0.20121100648627335,9.607148438519264,7.458594711754245e-22,4.527193534343856e-21,True
[Clostridium] leptum,study_condition[T.adenoma],-0.12748478564399993,0.34055728823516757,-0.37434167480205827,0.7081501302153521,0.9653855482091309,False
[Clostridium] leptum,study_condition[T.CRC],-0.38713434376791933,0.3157633689812874,-1.2260267713031068,0.22018860075993618,0.5370955588630218,False
[Clostridium] methylpentosum,Intercept,-0.21604460811473736,0.05667087179181271,-3.8122690067024787,0.0001376968946439086,0.0003045668601869504,True
[Clostridium] methylpentosum,study_condition[T.adenoma],0.017880218477895907,0.083210891869367,0.21487834195992164,0.8298621710907819,0.9653855482091309,False
[Clostridium] methylpentosum,study_condition[T.CRC],0.14963017628959274,0.1336923922041574,1.119212348755771,0.2630495585007605,0.5818299556669364,False
[Clostridium] scindens,Intercept,0.035106160248011165,0.11449190349876254,0.3066257016889461,0.7591282883008548,0.7957127841225827,False
[Clostridium] scindens,study_condition[T.adenoma],-0.16092984368957466,0.14021114678926758,-1.1477678299817815,0.2510644210578309,0.8190976737011734,False
[Clostridium] scindens,study_condition[T.CRC],-0.12872089155921662,0.16737888651099433,-0.7690390003327066,0.4418701584829773,0.725334033736208,False
[Clostridium] spiroforme,Intercept,0.8190452722619295,0.23623511336676886,3.467076763437422,0.0005261516077546691,0.0009739402100990682,True
[Clostridium] spiroforme,study_condition[T.adenoma],-0.13953068126760018,0.3498946439778826,-0.3987791287151573,0.6900559570369431,0.9653855482091309,False
[Clostridium] spiroforme,study_condition[T.CRC],-0.48342812840971466,0.31669112528858984,-1.5264972391290823,0.12688607750163683,0.44753062470171906,False
[Clostridium] symbiosum,Intercept,0.4540200306025479,0.1739972019713805,2.6093524807210766,0.009071374909005253,0.014262824405122717,True
[Clostridium] symbiosum,study_condition[T.adenoma],-0.13179654874819657,0.25038748372257474,-0.526370355214021,0.5986309087527799,0.9399774114087164,False
[Clostridium] symbiosum,study_condition[T.CRC],1.0847222697697794,0.3757440258185281,2.886864980505809,0.003891011661402275,0.054192495676470956,False
[Eubacterium] brachy,Intercept,-0.12039475834427371,0.0762177461924452,-1.5796158291047366,0.11419487200313536,0.14828289349660861,False
[Eubacterium] brachy,study_condition[T.adenoma],0.04694221604131517,0.13159759441857263,0.35671028979455355,0.7213087015186781,0.9653855482091309,False
[Eubacterium] brachy,study_condition[T.CRC],0.017992896446990984,0.12542151393918244,0.14345941044624796,0.8859273653836209,0.9487685892591684,False
[Eubacterium] infirmum,Intercept,-0.22214762315872605,0.046877816362887605,-4.738864571656897,2.149190765999224e-06,5.9046188413241835e-06,True
[Eubacterium] infirmum,study_condition[T.adenoma],0.05277588201844598,0.06921321336169282,0.7625116571694336,0.4457546884127257,0.8747516817723414,False
[Eubacterium] infirmum,study_condition[T.CRC],0.16146011215779044,0.12443012133013434,1.2975966786161786,0.19442596408327473,0.5157961472763976,False
[Eubacterium] rectale,Intercept,5.908005937710977,0.3548618339157917,16.648749944500764,3.0898920129204603e-62,4.743893031601413e-61,True
[Eubacterium] rectale,study_condition[T.adenoma],0.5249274117596592,0.5193839347167903,1.010673177725244,0.312172878758436,0.8487200141244979,False
[Eubacterium] rectale,study_condition[T.CRC],-1.606875308898633,0.5407933143640438,-2.9713298338169523,0.002965131422408205,0.04552348830873774,True
[Eubacterium] siraeum,Intercept,3.0011537888817426,0.35621978718054403,8.42500584438522,3.607322427107352e-17,1.7118384608636708e-16,True
[Eubacterium] siraeum,study_condition[T.adenoma],0.17618247908142945,0.5497046659326081,0.32050388144791336,0.7485863884622734,0.9653855482091309,False
[Eubacterium] siraeum,study_condition[T.CRC],0.5621180146139948,0.5437164321328878,1.03384408010058,0.30120906068385456,0.613964618188216,False
[Eubacterium] sulci,Intercept,0.452250617643676,0.1350007227199715,3.3499866410476025,0.0008081545788309112,0.00145467824189564,True
[Eubacterium] sulci,study_condition[T.adenoma],-0.06348048964126411,0.1998614239762411,-0.31762252253746814,0.7507712876736803,0.9653855482091309,False
[Eubacterium] sulci,study_condition[T.CRC],-0.06703352861933465,0.19690337982294692,-0.3404386896741456,0.7335261866454383,0.8977374452784894,False
[Ruminococcus] gnavus,Intercept,2.4690356597325476,0.35345870187390943,6.985358251593804,2.8413000580351174e-12,1.1587176799174463e-11,True
[Ruminococcus] gnavus,study_condition[T.adenoma],0.009938621722739087,0.5613318312154414,0.017705430495931745,0.9858738484184587,0.9923681364405078,False
[Ruminococcus] gnavus,study_condition[T.CRC],0.1260856208584984,0.5491504404890936,0.22960123777047672,0.81840164496754,0.9327634468844015,False
[Ruminococcus] lactaris,Intercept,2.4935003090654,0.4096935352269173,6.086257396481306,1.1558057542558054e-09,4.189795859177294e-09,True
[Ruminococcus] lactaris,study_condition[T.adenoma],1.522859256602543,0.6124724998719827,2.486412462471126,0.012903831125360206,0.3492916184404706,False
[Ruminococcus] lactaris,study_condition[T.CRC],0.03491241266366818,0.5707196133543154,0.061172617598466476,0.9512217368712818,0.9786411539528008,False
[Ruminococcus] torques,Intercept,5.023568921956383,0.371513465575325,13.521902669602822,1.1613282544868782e-41,1.1657949016195201e-40,True
[Ruminococcus] torques,study_condition[T.adenoma],-0.39034906477764497,0.5516388989796677,-0.7076170036225681,0.4791831306747246,0.8933342650435938,False
[Ruminococcus] torques,study_condition[T.CRC],-0.6243359004455482,0.5527689998221981,-1.1294698158658862,0.2586996956782177,0.5818299556669364,False
Acidaminococcus fermentans,Intercept,0.4603671994652263,0.23564235638713368,1.953669138789697,0.050740358281354175,0.07197409517083392,False
Acidaminococcus fermentans,study_condition[T.adenoma],-0.07619245741311255,0.3622992684382981,-0.2103025428164468,0.8334315507862204,0.9653855482091309,False
Acidaminococcus fermentans,study_condition[T.CRC],0.13021356070272924,0.38632805759829864,0.3370543716452623,0.7360759129869607,0.8977374452784894,False
Acidaminococcus intestini,Intercept,0.27133100722494596,0.2095797520646773,1.294643230330819,0.19544333200605035,0.24175691778947458,False
Acidaminococcus intestini,study_condition[T.adenoma],0.33276188063009715,0.3583577475375548,0.9285745401534112,0.3531096213120669,0.8595186744353119,False
Acidaminococcus intestini,study_condition[T.CRC],0.46545566405740135,0.3780324021606278,1.2312586471347686,0.21822614298113674,0.5370955588630218,False
Actinomyces graevenitzii,Intercept,-0.1747972697136131,0.053459089315229726,-3.269739008887603,0.0010764675421870442,0.0018983650575055307,True
Actinomyces graevenitzii,study_condition[T.adenoma],0.19453682183535326,0.16918137737675384,1.1498713679469272,0.25019685520302604,0.8190976737011734,False
Actinomyces graevenitzii,study_condition[T.CRC],0.07036308303871908,0.1102217149252036,0.6383776834398506,0.5232278544428419,0.7629188268691717,False
Actinomyces naeslundii,Intercept,-0.16193885152064702,0.08052921192443513,-2.010933022324904,0.04433253176985411,0.06357577358204354,False
Actinomyces naeslundii,study_condition[T.adenoma],-0.06553598724800212,0.10746782459771174,-0.6098196133896391,0.5419813075268045,0.9368021275794436,False
Actinomyces naeslundii,study_condition[T.CRC],-0.08804170396579025,0.11311920266126065,-0.7783090924839187,0.43638681650386346,0.725334033736208,False
Actinomyces oris,Intercept,0.1589996713621673,0.13998227505540242,1.1358557453023117,0.2560169421973293,0.30427919503785433,False
Actinomyces oris,study_condition[T.adenoma],-0.16341331504739226,0.18208769789481155,-0.8974429186412851,0.3694826195326727,0.8595186744353119,False
Actinomyces oris,study_condition[T.CRC],-0.3571553882956079,0.15999718465617319,-2.2322604554768817,0.025597753839830272,0.18558371533876947,False
Actinomyces sp. HMSC035G02,Intercept,-0.06824386856890641,0.11922131494039548,-0.5724133189021177,0.5670419947384697,0.6115618207716553,False
Actinomyces sp. HMSC035G02,study_condition[T.adenoma],0.14028212491834707,0.16516361545335434,0.8493524710832313,0.39568519181649864,0.8595186744353119,False
Actinomyces sp. HMSC035G02,study_condition[T.CRC],0.11201960433287117,0.1593541337342811,0.7029601410884073,0.4820805896965712,0.7445149935550597,False
Actinomyces sp. HPA0247,Intercept,-0.1197894401396642,0.0659018774483506,-1.8176938924622745,0.06911093175727848,0.09594655951409406,False
