FeatureID,W,pvalue,qvalue,Signif
[Bacteroides] pectinophilus,0.8934567027212245,0.7205646737872485,0.954962374990461,False
[Clostridium] innocuum,0.42981231399947883,0.38676573600514835,0.849799900764802,False
[Clostridium] leptum,1.236994223342835,0.9224929683276049,0.9735807435334782,False
[Clostridium] methylpentosum,0.7740092183853711,0.6418240702557145,0.9522353603769609,False
[Clostridium] scindens,1.3052776048655657,0.9586599658548042,0.9735807435334782,False
[Clostridium] spiroforme,1.7934311726347527,0.8158143960122082,0.9654663876398973,False
[Clostridium] symbiosum,5.050087076714674,0.16010965451033668,0.6964769971199646,False
[Eubacterium] brachy,0.10721064928047921,0.10438778318181142,0.610343952674668,False
[Eubacterium] infirmum,1.508484466178859,0.940733816397298,0.9735807435334782,False
[Eubacterium] rectale,6.619596079479771,0.07304709862890021,0.5491719717447994,False
[Eubacterium] siraeum,0.8278457294713857,0.6778961205690517,0.954962374990461,False
[Eubacterium] sulci,0.14828275198156415,0.14291917751843675,0.6796845150887096,False
[Ruminococcus] gnavus,0.03828752969837129,0.03792337344209291,0.4949000234193125,False
[Ruminococcus] lactaris,3.8970951887680836,0.28496172276413934,0.849799900764802,False
[Ruminococcus] torques,1.221990504685504,0.9143792662764418,0.9735807435334782,False
Acidaminococcus fermentans,0.1107502270653393,0.10773964970454075,0.6113054037583726,False
Acidaminococcus intestini,1.7820515370068564,0.8204694619755399,0.9654663876398973,False
Actinomyces graevenitzii,1.4111512749269206,0.9876484573952253,0.991447105308284,False
Actinomyces naeslundii,0.6276477223486634,0.5387045754880532,0.9164513902629361,False
Actinomyces oris,4.066638223431497,0.26180065302178435,0.8435798819590828,False
Actinomyces sp. HMSC035G02,0.7824974353861109,0.6475761015077588,0.9522353603769609,False
Actinomyces sp. HPA0247,0.2563787192191397,0.24062642754845373,0.8156298388330705,False
Actinomyces sp. ICM47,2.117365583730531,0.6938249308612614,0.954962374990461,False
Actinomyces sp. oral taxon 181,4.7756127770906325,0.18366180884160732,0.7722203013345152,False
Actinomyces sp. oral taxon 448,1.9240392615950026,0.7642407281550957,0.954962374990461,False
Actinomyces sp. S6-Spd3,0.011366769759399419,0.011334530001608636,0.28699274073391323,False
Adlercreutzia caecimuris,0.3384144288024169,0.3113321457825354,0.849799900764802,False
Adlercreutzia equolifaciens,0.7523003267875145,0.6270015235069287,0.9522353603769609,False
Aeriscardovia aeriphila,3.3101959541471553,0.382146667964455,0.849799900764802,False
Agathobaculum butyriciproducens,4.419158469086206,0.21949363294253055,0.8002799334385448,False
Akkermansia muciniphila,0.9692517311964225,0.7681448132727219,0.954962374990461,False
Alistipes finegoldii,1.493612666689704,0.9477550911378694,0.9735807435334782,False
Alistipes indistinctus,1.5089654208026038,0.9405076184567702,0.9735807435334782,False
Alistipes inops,2.161704381771859,0.678612497420345,0.954962374990461,False
Alistipes onderdonkii,0.44630864352306837,0.4000172326229175,0.849799900764802,False
Alistipes putredinis,0.33345805704359777,0.3071421232682714,0.849799900764802,False
Alistipes shahii,0.029747396825144105,0.029527262675085597,0.4281453087887412,False
Allisonella histaminiformans,0.35990684270748696,0.3293817638538385,0.849799900764802,False
Alloscardovia omnicolens,0.640955922063754,0.5483959018787702,0.9234279380023163,False
Anaerobutyricum hallii,10.042118590494203,0.013195068539490264,0.28699274073391323,False
Anaeromassilibacillus sp. An250,1.7650735991577844,0.827464048150168,0.9654663876398973,False
Anaerostipes hadrus,15.449137335281385,0.0008836747551367448,0.15821030480694379,False
Anaerotignum lactatifermentans,7.024315104124194,0.059664959646090046,0.5477579420682409,False
Anaerotruncus colihominis,2.8881406271216292,0.47193069679512845,0.8798543830122799,False
Bacteroides caccae,1.2565688689940169,0.9329874373419225,0.9735807435334782,False
Bacteroides cellulosilyticus,5.0665424381599875,0.15879772785012505,0.6964769971199646,False
Bacteroides clarus,2.7959108239065076,0.49420333785503223,0.8798543830122799,False
Bacteroides eggerthii,0.7501838424336431,0.6255477895446057,0.9522353603769609,False
Bacteroides faecis,3.1755363777625147,0.4087624868694029,0.849799900764802,False
Bacteroides faecis CAG:32,0.8717152503885814,0.7065804108749824,0.954962374990461,False
Bacteroides finegoldii,0.7737516501748093,0.641649147520396,0.9522353603769609,False
Bacteroides fragilis,3.476989480613231,0.3515696066977522,0.849799900764802,False
Bacteroides galacturonicus,0.6010903090240782,0.519171059301461,0.9033576431845423,False
Bacteroides intestinalis,2.175982135088284,0.6737852176811288,0.954962374990461,False
Bacteroides nordii,7.049947341424179,0.05890516564886307,0.5477579420682409,False
Bacteroides ovatus,1.4818833584995588,0.9533296774466871,0.9735807435334782,False
Bacteroides salyersiae,0.811867223406518,0.6672911918192297,0.954962374990461,False
Bacteroides sp. CAG:144,1.1337112791702906,0.8653870937784475,0.9735807435334782,False
Bacteroides stercoris,2.818963057600536,0.4885397944688022,0.8798543830122799,False
Bacteroides thetaiotaomicron,2.234825685941479,0.6542500491741434,0.9539623622036393,False
Bacteroides uniformis,0.06692555948896478,0.06581818813567936,0.5491719717447994,False
Bacteroides xylanisolvens,4.714539819532126,0.18935670224294626,0.7722203013345152,False
Barnesiella intestinihominis,0.30290897955182916,0.28108600907329917,0.849799900764802,False
Bifidobacterium adolescentis,1.8034321583166915,0.8117451046758453,0.9654663876398973,False
Bifidobacterium animalis,2.897144188786506,0.4698109431431516,0.8798543830122799,False
Bifidobacterium bifidum,0.012692520810722486,0.012652330853178758,0.28699274073391323,False
Bifidobacterium catenulatum,6.63015673987451,0.07266240238361792,0.5491719717447994,False
Bifidobacterium dentium,2.363285379574709,0.6135487786269693,0.9522353603769609,False
