FeatureID,Log2(FC),SE,W,pvalue,qvalue,Signif
[Bacteroides] pectinophilus,0.01201418326836479,0.2805260808711283,0.04282733081735819,0.9658391771307044,0.9794862504790072,False
[Clostridium] innocuum,0.2828873495825433,0.410274432081501,0.6895076257794874,0.49050387602373346,0.7465603198429984,False
[Clostridium] leptum,-0.38713434376791933,0.3157633689812874,-1.2260267713031068,0.22018860075993618,0.5370955588630218,False
[Clostridium] methylpentosum,0.14963017628959274,0.1336923922041574,1.119212348755771,0.2630495585007605,0.5818299556669364,False
[Clostridium] scindens,-0.12872089155921662,0.16737888651099433,-0.7690390003327066,0.4418701584829773,0.725334033736208,False
[Clostridium] spiroforme,-0.48342812840971466,0.31669112528858984,-1.5264972391290823,0.12688607750163683,0.44753062470171906,False
[Clostridium] symbiosum,1.0847222697697794,0.3757440258185281,2.886864980505809,0.003891011661402275,0.054192495676470956,False
[Eubacterium] brachy,0.017992896446990984,0.12542151393918244,0.14345941044624796,0.8859273653836209,0.9487685892591684,False
[Eubacterium] infirmum,0.16146011215779044,0.12443012133013434,1.2975966786161786,0.19442596408327473,0.5157961472763976,False
[Eubacterium] rectale,-1.606875308898633,0.5407933143640438,-2.9713298338169523,0.002965131422408205,0.04552348830873774,True
[Eubacterium] siraeum,0.5621180146139948,0.5437164321328878,1.03384408010058,0.30120906068385456,0.613964618188216,False
[Eubacterium] sulci,-0.06703352861933465,0.19690337982294692,-0.3404386896741456,0.7335261866454383,0.8977374452784894,False
[Ruminococcus] gnavus,0.1260856208584984,0.5491504404890936,0.22960123777047672,0.81840164496754,0.9327634468844015,False
[Ruminococcus] lactaris,0.03491241266366818,0.5707196133543154,0.061172617598466476,0.9512217368712818,0.9786411539528008,False
[Ruminococcus] torques,-0.6243359004455482,0.5527689998221981,-1.1294698158658862,0.2586996956782177,0.5818299556669364,False
Acidaminococcus fermentans,0.13021356070272924,0.38632805759829864,0.3370543716452623,0.7360759129869607,0.8977374452784894,False
Acidaminococcus intestini,0.46545566405740135,0.3780324021606278,1.2312586471347686,0.21822614298113674,0.5370955588630218,False
Actinomyces graevenitzii,0.07036308303871908,0.1102217149252036,0.6383776834398506,0.5232278544428419,0.7629188268691717,False
Actinomyces naeslundii,-0.08804170396579025,0.11311920266126065,-0.7783090924839187,0.43638681650386346,0.725334033736208,False
Actinomyces oris,-0.3571553882956079,0.15999718465617319,-2.2322604554768817,0.025597753839830272,0.18558371533876947,False
Actinomyces sp. HMSC035G02,0.11201960433287117,0.1593541337342811,0.7029601410884073,0.4820805896965712,0.7445149935550597,False
Actinomyces sp. HPA0247,0.027562078243751457,0.11263621528023818,0.24469996772509786,0.8066887530332343,0.9275143812408553,False
Actinomyces sp. ICM47,-0.2947667909932965,0.20956661615138653,-1.4065541373267352,0.15955964072220408,0.4856072419876522,False
